browsername,opps
Chrome,1.11E+08
Safari,32614617
Firefox,9399718
Edge,8355404
Samsung Browser,5989370
Android WebView,3224929
Opera,3004450
UC Browser,1582141
Opera Mobile,1391004
Social browser,1185173
Amazon Silk,1036428
DuckDuckGo Private Browser,538922.8
Other,488319.8
Unknown,467566.6
Huawei Browser,457885.4
Yandex Browser,316953.4
MIUI Browser,301950.8
Yandex.Browser,253215.4
VivoBrowser,241834.6
Aloha Browser,226434.4
Android Browser,153377
Opera Touch,110859
Avast Secure Browser,98011.4
HeyTap Browser,96168.2
UCTurbo,87201.4
Opera GX,81626.4
MQQ Browser,54026.8
Phoenix,36295.6
Internet Explorer,33565.6
Oculus Browser,29674
å¤¸å…‹,27051.6
Whale,24643.4
Hi Browser,24258.2
Puffin,22580.2
Firefox Focus,21259.6
Ecosia,19048.2
BingSapphire,18245
CCleaner Browser,13774.2
Maxthon,10501
Openwave,10193.6
Vivaldi,6844.6
Iron,6225.8
QQ Browser,5727
Mint Browser,5624.2
Pale Moon,5145.2
t-online Browser,5117.4
Seznam Browser,4319
Opera Mini,3973.4
115 Browser,3797.6
Quark,3526.2
Venus Browser,3454
Sleipnir,3388
CM Browser,3143.2
Hola,2895.8
Realme Browser,2567
Chromium,2525.6
Waterfox,2379.6
OPPO Browser,2184.2
IceDragon,2143.6
SL Browser,2110.8
Tizen Browser,2085.6
Internet Explorer Mobile,1886.2
Mypal,1872.6
Sogou Mobile Browser,1586
SeaMonkey,1406.4
Meizu Browser,1367.6
WorxWeb,1338
Nintendo Browser,1284.8
Coc Coc Browser,1201.2
Cake,1050.2
Lovense Browser,945.8
TheWorld,857.6
Edge for Android,719.6
BlackBerry Browser,628.8
QihooBrowser,502.6
Falkon,470.8
Amigo,340.6
Kindle Browser,336.8
Reeder,333.4
K-Meleon,329.2
Midori,314.6
Thunderbird,289.4
Basilisk,268.6
AOL Shield,265.8
PrivacyWall,250.6
Nokia S60 Browser,218
Cyberfox,215.6
MI Secure Browser,184.6
Nokia Browser,180.8
Lenovo Browser,172.8
Turbo Browser,168.2
BaiduBrowser,167.8
Freebox,161.4
SF Browser,159.8
Quick Browser,158
2345 Browser,157.4
360 Secure Browser,146.6
Xvast,145.8
TenFourFox,125
Konqueror,115.4
Aloha Browser Lite,115.2
JuziBrowser,111.4
NoxBrowser,100.8
JioPages,100
Sputnik Browser,93
Iridium,89.2
Smooz,88
Epiphany,82.2
NetFront,78
Kiwi,76.2
Chromium GOST,59.4
AOL Browser,58.2
Brave,58
Amazon Kids Browser,54.2
Pi Browser,49.8
mCent Browser,49.8
Lunascape,45
Arora,44.2
Netscape Navigator,44.2
SiteKiosk,39.6
Surf Browser,37.4
LG webOS Browser,34.4
Qt,31.8
Rakuten Browser,22.6
wkbrowser,22
Qwant Browser,17
Iceweasel,16.8
Tencent Traveler,16.4
QupZilla,14.6
Minimo,13.8
AirWatch Browser,13.4
SEMC Browser,13.4
Dolphin Browser,13.2
Simplified Browser,13
QtCarBrowser,12.6
Shark Browser,12.4
Elements Browser for Windows,11.8
Diigo Browser,11.6
Odyssey Web Browser,10.8
Coast by Opera,10.2
Comodo Dragon,10
webOS Browser,9.8
GreenBrowser,9.2
Mercury,9.2
Swing Browser,8.2
Kinza,8
Qiyu Swordfish,7.8
UP.Browser,7.8
Maxthon Nitro,6.4
Wyzo,6.2
Delta Browser,6
Galeon,5
Camino,4.8
CometBird,4.8
NTENT,4.2
osee2unified,3.8
Cocoon,3.4
Iceape,3.4
Polaris,3.4
Firebird,3
OmniWeb,2.8
isivioo,2.6
dbrowser,2.4
CoolNovo,2.2
iCab Browser,2
IceCat,1.6
Beaker Browser,1.2
Obigo,1.2
Avira Scout,1
Otter,1
Beamrise,0.8
Motorola MIB,0.8
Vimb,0.8
Spark Security,0.6
Superbird,0.6
WhiteHat Aviator,0.6
BeagleBrowser,0.4
Cunaguaro,0.4
Dolfin,0.4
Pure Browser,0.4
lolifox,0.4
B-Line,0.2
Chedot Browser,0.2
Deepnet Explorer,0.2
Firefox Focus for iOS,0.2
Roccat,0.2
UC Browser for Symbian,0.2
Yaani Browser,0.2
,0
AuroraBrowser,0
Chrome Mobile,0
Chrome for iOS,0
Edge (Chromium) for Windows,0
Facebook for Android,0
GoogleMobile for iOS,0
HeyTapBrowser for Android,0
Instagram for Android,0
Mobile Safari,0
Netfront,0
Opera Desktop,0
Oupeng,0
Salam Browser,0
UCBrowser for Android,0
Vivo Browser,0
iLunascape,0
