publishernewthematic,opps
2.80E+11,49457928
2.61E+11,48854742
1.02E+10,10525544
1.07E+10,10039445
1.07E+10,9793712
1.07E+10,9310647
1.07E+10,8431749
1.80E+11,6496160
2.50E+11,5412016
1.41E+11,3140994
1.02E+10,2624218
2.60E+11,2516955
1.00E+10,2086140
2.50E+11,1487446
1.80E+11,1221074
1.00E+11,1035437
1.07E+10,1004956
1.41E+11,968489
1.07E+10,885117.6
1.02E+10,812234.4
1.41E+11,662568.2
1.70E+11,514204
6.00E+10,484081.2
1.02E+10,462668.8
2.84E+11,360962
1.80E+11,319299
1.80E+11,319230.2
1.81E+11,294791.8
1.07E+10,236615.8
1.00E+11,203092.6
1.40E+11,196260.2
1.08E+10,179647.2
1.08E+10,173508.8
1.02E+10,167297.6
1.50E+11,164925.8
7.00E+10,149973.6
1.81E+11,148968.2
1.01E+10,148226.6
4.03E+10,105337.8
9.04E+10,93646.4
1.02E+10,88961.6
1.50E+11,77090.8
4.00E+10,76846.8
1.80E+11,75379.4
2.90E+11,73038.8
2.50E+11,66440.2
1.01E+11,63197.8
1.40E+11,59085.6
1.08E+10,58566.2
1.04E+10,53078.6
1.71E+11,47624.2
1.01E+11,42149.8
1.41E+11,34230.4
1.81E+11,33655.2
1.81E+11,33158.8
2.87E+11,28605.6
2.88E+11,27880.8
2.88E+11,26682.8
1.07E+10,25644.2
1.90E+11,24739
5.00E+10,24402.4
1.20E+11,19773.6
9.02E+10,19663.8
1.30E+11,19294
2.61E+11,18503
2.20E+11,17211.4
4.06E+10,13871.2
1.40E+11,13254
1.71E+11,11327.6
1.01E+11,10916.2
8.00E+10,10581.4
1.01E+11,10456
3.00E+10,8709.6
9.00E+10,7790.2
2.20E+11,6474.6
1.01E+11,6320.4
2.88E+11,6084.8
7.99E+10,5640.8
1.91E+11,5444.6
2.70E+11,5250.8
2.00E+10,5094.2
1.00E+11,5023
1.10E+11,4748.8
1.00E+11,4688.8
2.40E+11,3816.2
1.01E+11,3203.4
2.09E+10,3189
8.02E+10,2928.8
1.08E+10,2779.6
1.41E+11,2727.4
1.07E+10,2504.2
1.90E+11,2319.2
3.07E+10,2288.6
2.30E+11,1986
5.04E+10,1708.2
2.10E+11,1223.8
2.20E+11,1128.6
1.71E+11,980.8
1.08E+10,911.2
1.12E+11,854.8
2.00E+11,793
1.07E+10,771.2
5.01E+10,767
2.20E+11,727.8
1.04E+10,720.8
6.06E+10,551
6.09E+10,506
2.40E+11,483.4
1.40E+11,422.6
2.20E+11,353
1.41E+11,287.6
1.40E+11,279.6
1.12E+10,247.4
1.08E+10,225.4
1.50E+11,157.8
1.90E+11,147.8
6.09E+10,100.4
1.07E+10,99.6
6.09E+10,90.4
1.07E+10,75.8
2.88E+11,38.4
1.91E+11,34.8
1.41E+11,31
2.61E+11,20.2
9.01E+10,19.4
1.41E+11,19.2
1.07E+10,13.8
4.07E+10,13.8
1.08E+10,12.4
2.80E+11,10.4
1.10E+10,9.6
6.08E+10,7.8
2.85E+11,7.4
2.88E+11,4.4
7.07E+10,2.6
1.08E+10,2.4
1.07E+10,2
1.07E+10,1
1.60E+11,0.6
1.91E+11,0.6
2.85E+11,0.6
,0.4
1.20E+11,0.4
1.41E+11,0.4
1.71E+11,0.4
2.50E+11,0.4
1.41E+11,0.2
1.81E+11,0.2
6.04E+10,0.2
n/a,0
